ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
105,Ilyas Abbadi,M,19,175,75,Algeria,ALG,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
105,Ilyas Abbadi,M,23,175,75,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,
239,Ayoub Abdellaoui,M,23,184,68,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
247,El-Hachemi Abdenouz,M,24,170,63,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",
248,Rda Abdenouz,M,19,170,63,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
248,Rda Abdenouz,M,23,170,63,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,
249,Mouni Abderrahim,F,22,173,60,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
249,Mouni Abderrahim,F,26,173,60,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
381,Benaissa Abed,M,23,170,51,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,
425,Salim Abes,M,25,,,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
491,Kamel Aboud,M,22,178,67,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,
493,Rabah Aboud,M,31,180,64,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",
685,Dallal Merwa Achour,F,17,176,45,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
871,Berkane Lakhdar Adda,M,21,178,78,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Middleweight,
873,Mehdi Addadi,M,28,179,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
873,Mehdi Addadi,M,28,179,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
983,Sad Admane,M,,174,62,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",
1152,Khoudir Aggoune,M,23,175,66,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",
1468,Mohamed Al-Aich,M,23,185,73,Algeria,ALG,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Single Sculls,
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,
1476,Mehdi Aidet,M,26,172,65,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",
1476,Mehdi Aidet,M,30,172,65,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",
1514,Tassadit Assou,F,19,184,80,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
1514,Tassadit Assou,F,23,184,80,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
1516,Rachid Ait Atmane,M,23,190,76,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
1518,Kamel Ait Daoud,M,23,180,70,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Double Sculls,
1523,Makhlouf Ait Hocine,M,21,182,79,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
1527,Souad At Salem (-Mahour-Bacha),F,25,158,50,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",
1527,Souad At Salem (-Mahour-Bacha),F,25,158,50,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",
1527,Souad At Salem (-Mahour-Bacha),F,29,158,50,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,
1527,Souad At Salem (-Mahour-Bacha),F,33,158,50,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,
1527,Souad At Salem (-Mahour-Bacha),F,37,158,50,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
1570,Ali Akacha,M,26,185,80,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
2712,Mohamed Sid Ali Djouadi,M,20,,,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,
2788,Ikhlef Ahmed Hadj Allah,M,23,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,
2794,Mohamed Allalou,M,22,174,63,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,
2794,Mohamed Allalou,M,26,174,63,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze
3299,Mourad Sedegh Amara,M,21,,,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
3418,Mohamed Ameur,M,23,176,65,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
3534,Rafik Amrane,M,23,177,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Single Sculls,
4661,Redouane Aouachria,M,26,,,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
4664,Moussa Aouanouk,M,28,173,62,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,
4664,Moussa Aouanouk,M,32,173,62,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,
5673,Salah Assad,M,22,181,72,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
5689,Sonia Asselah,F,20,176,78,Algeria,ALG,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,
5689,Sonia Asselah,F,24,176,78,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,
5695,Mehdi Assous,M,18,152,51,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,
6362,Mohamed Azzaoui,M,24,182,91,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,
6364,Omar Azzeb,M,20,182,85,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
6364,Omar Azzeb,M,24,182,85,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
6364,Omar Azzeb,M,28,182,85,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
6369,Yasmina Azzizi (-Kettab),F,34,176,67,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Heptathlon,
6372,Hassane Azzoun,M,28,188,100,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,
6373,Mohamed Azzedine Azzouzi,M,24,181,65,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,
6373,Mohamed Azzedine Azzouzi,M,24,181,65,Algeria,ALG,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",
6412,Lahcen Babaci,M,23,175,62,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",
6781,Nasria Baghdad-Azadj,F,28,167,49,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",
6781,Nasria Baghdad-Azadj,F,32,167,49,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,
6815,Mohamed Bahari,M,20,180,75,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Middleweight,Bronze
7051,Ali Bakhta,M,22,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,
7058,Abdel Atif Bakir,M,23,180,78,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
8410,Azzedine Basbas,M,21,165,56,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Bantamweight,
8410,Azzedine Basbas,M,25,165,56,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Featherweight,
8410,Azzedine Basbas,M,29,165,56,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,
9377,Ben Ali Beghouach,M,21,186,89,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
9377,Ben Ali Beghouach,M,29,186,89,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
9510,Noureddine Bekkouche,M,,,67,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,
9518,Boualem Bel Alouane,M,19,174,66,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,
9519,Assa Bel Aout,M,23,170,63,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",
9519,Assa Bel Aout,M,27,170,63,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",
9526,Djaffar Bel Hocine,M,22,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
9528,Ahmed Bel Kessam,M,22,175,72,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,
9528,Ahmed Bel Kessam,M,26,175,72,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,
9529,Hadj Bel Kheir,M,27,164,57,Algeria,ALG,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Featherweight,
9531,Katia Belabbas,F,20,170,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,
9532,Mohamed Khaled Belabbas,M,31,178,70,Algeria,ALG,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
9588,Othmane Mustapha Belfaa,M,18,192,76,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's High Jump,
9589,Mohammed El-Amine Belferar,M,25,175,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,
9593,Sami Belgroun,M,25,188,100,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Heavyweight,
9593,Sami Belgroun,M,29,188,100,Algeria,ALG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,
9596,Sad Belhout,M,29,170,68,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,
9618,Haris Belkebla,M,22,178,70,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
9662,Abderzak Bella,M,21,,,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,
9662,Abderzak Bella,M,21,,,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,
9735,Lakhdar Belloumi,M,21,175,68,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
9867,Djillali Ben Brahim,M,27,178,71,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,
9870,Reda Ben Chehima,M,26,175,75,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",
9870,Reda Ben Chehima,M,26,175,75,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",
9876,Mazouz Ben Djedaa,M,24,,,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
9877,Abdel Krim Ben Djemil,M,20,190,80,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
9877,Abdel Krim Ben Djemil,M,24,190,80,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
9882,Mohamed Ben Guesmia,M,19,181,75,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,
9883,Mohamed Ryad Ben Haddad,M,25,,,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,
9898,El-Tayeb El-Hadj Ben Khelfallah,M,22,,,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,
9905,Abdel Salem Ben Magh Soula,M,23,178,74,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,
9905,Abdel Salem Ben Magh Soula,M,27,178,74,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
9923,Taj Ben Saoula,M,25,179,70,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
9930,Meziane Ben Tahar,M,22,168,62,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
9942,Raouf Benabid,M,19,178,82,Algeria,ALG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,
9945,Tarek Aziz Benaissa,M,21,170,66,Algeria,ALG,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
9945,Tarek Aziz Benaissa,M,25,170,66,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
9948,Abderrahmane Benamadi,M,31,183,90,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
9949,Mounir Benamadi,M,26,168,66,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
9951,Nafaa Benami,M,29,165,56,Algeria,ALG,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Bantamweight,
9966,Reda Benbaziz,M,22,175,60,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,
9968,Abdelhafid Benchabla,M,21,184,81,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,
9968,Abdelhafid Benchabla,M,25,184,81,Algeria,ALG,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,
9968,Abdelhafid Benchabla,M,29,184,81,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,
9969,Samir Benchenaf,M,24,167,55,Algeria,ALG,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
9983,Mohamed Bendahmane,M,22,175,68,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
9985,Sofiane Bendebka,M,23,170,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
10092,Abdelraouf Benguit,M,20,170,65,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
10096,Nassima Saleha Benhamouda ep Akouche,F,34,180,67,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
10105,Amar Benikhlef,M,22,186,90,Algeria,ALG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,
10105,Amar Benikhlef,M,26,186,90,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Middleweight,Silver
10130,Mohammed Benkablia,M,23,180,72,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
10132,Mohamed Benkhemassa,M,23,175,60,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
10146,Mustapha Bennacer,M,27,168,55,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,
10210,Zohra Bensalem,F,22,178,56,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
10215,Mourad Benslimani,M,26,178,64,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",
10233,Hadia Bentaleb,F,27,167,52,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",
10254,Noureddine Maurice Bentoumi,M,33,176,70,Algeria,ALG,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
10274,Rda Benzine,M,25,180,63,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",
10274,Rda Benzine,M,29,180,63,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 5,000 metres",
10275,Irbeh Sebti Benzine,M,24,,,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",
10490,Abdel Atif Bergheul,M,,,,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,
10669,Krimo Bernaoui,M,25,,,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,
10670,Nassim Islam Al-Bernaoui,M,27,,,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",
10670,Nassim Islam Al-Bernaoui,M,27,,,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",
10671,Raouf Salim Al-Bernaoui,M,20,175,73,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Individual",
10671,Raouf Salim Al-Bernaoui,M,28,175,73,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",
10671,Raouf Salim Al-Bernaoui,M,28,175,73,Algeria,ALG,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",
11002,Lad Bessou,M,24,180,63,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",
11065,Amina Bettiche,F,28,165,55,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",
11321,Walid Bidani,M,18,185,125,Algeria,ALG,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,
11321,Walid Bidani,M,22,185,125,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,
11833,Abdelhakim Bitat,M,16,176,66,Algeria,ALG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
12272,Hichem Blida,M,26,172,54,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Bantamweight,
13895,Mohamed Bouaichaoui,M,21,178,120,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight,
13895,Mohamed Bouaichaoui,M,25,178,120,Algeria,ALG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Heavyweight,
13899,Abdel Djalil Bouanani,M,29,,,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
13900,Mahmoud Bouanik,M,21,194,87,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
13900,Mahmoud Bouanik,M,29,194,87,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
13901,Chafik Bouaoud,M,17,177,74,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",
13915,Leila Boucetta,F,17,160,50,Algeria,ALG,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Women's Singles,
13918,Oarda Bouchabou,F,18,,,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Women's Singles,
13932,Salah Bouchekriou,M,26,179,81,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
13947,Hicham Bouchicha,M,27,182,64,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 3,000 metres Steeplechase",
13948,Mohamed Bouchiche,M,22,178,81,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,
13971,Sid Ali Boudina,M,26,178,73,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,
13972,Mohamed Boudjadja,M,20,175,68,Algeria,ALG,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,
13972,Mohamed Boudjadja,M,20,175,68,Algeria,ALG,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,
13973,Adem Boudjemline,M,22,180,85,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
13985,Farah Boufadene,F,17,155,55,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,
13985,Farah Boufadene,F,17,155,55,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
13985,Farah Boufadene,F,17,155,55,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
13985,Farah Boufadene,F,17,155,55,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,
13997,Samir Bouguerra,M,26,176,96,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
13998,Youssef Bouguerra,M,22,174,74,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
13998,Youssef Bouguerra,M,26,174,74,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
14003,Abdelhak Bouhalissa,M,27,174,74,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,
14004,Mohamed Bouhalla,M,25,170,65,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 20 kilometres Walk,
14012,Nacera Boukamoum,F,20,,,Algeria,ALG,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Super G,
14012,Nacera Boukamoum,F,20,,,Algeria,ALG,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
14013,Tarek Boukensa,M,22,178,62,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",
14013,Tarek Boukensa,M,26,178,62,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
14014,Safia Boukhima,F,17,176,64,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,
14014,Safia Boukhima,F,21,176,64,Algeria,ALG,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,
14020,Kamal Boulahfane,M,24,185,72,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",
14020,Kamal Boulahfane,M,28,185,72,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",
14020,Kamal Boulahfane,M,32,185,72,Algeria,ALG,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
14036,Abdel Aziz Boulehia,M,25,170,54,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,
14046,Hassiba Boulmerka,F,20,158,49,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,
14046,Hassiba Boulmerka,F,20,158,49,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",
14046,Hassiba Boulmerka,F,24,158,49,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",Gold
14046,Hassiba Boulmerka,F,28,158,49,Algeria,ALG,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 1,500 metres",
14050,Chouaib Bouloudinats,M,25,183,91,Algeria,ALG,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Heavyweight,
14050,Chouaib Bouloudinats,M,29,183,91,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,
14068,Lad Bouneb,M,19,160,48,Algeria,ALG,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Welterweight,
14069,Baghdad Bounedjah,M,24,189,75,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
14072,Abdel Razzak Bounour,M,27,176,60,Algeria,ALG,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",
14082,Ali Bourai,M,23,170,70,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Trampolining,Trampolining Men's Individual,
